Date      ,APF NO    ,APF Name                                                                                            ,No.of Bales,Qty Sold      ,Avg Price     
14-03-2022,20,Ongole - I                                                                                          ,18,2253.7,185
15-03-2022,20,Ongole - I                                                                                          ,36,4734.7,185
16-03-2022,20,Ongole - I                                                                                          ,101,13208.3,184.13
17-03-2022,20,Ongole - I                                                                                          ,255,33049.5,183.06
18-03-2022,20,Ongole - I                                                                                          ,240,30880.9,181.05
19-03-2022,20,Ongole - I                                                                                          ,434,55709.8,181.27
14-03-2022,22,Podili - I                                                                                          ,27,3586.9,185
15-03-2022,22,Podili - I                                                                                          ,49,6503.3,185
16-03-2022,22,Podili - I                                                                                          ,139,18473.2,183.95
17-03-2022,22,Podili - I                                                                                          ,409,52488,182.85
18-03-2022,22,Podili - I                                                                                          ,496,64629.5,183.11
19-03-2022,22,Podili - I                                                                                          ,765,100026.2,183.55
14-03-2022,25,Kondepi                                                                                             ,17,2231.8,185
15-03-2022,25,Kondepi                                                                                             ,36,4806.7,184.31
16-03-2022,25,Kondepi                                                                                             ,277,35453.7,182.72
17-03-2022,25,Kondepi                                                                                             ,377,47288,182.02
18-03-2022,25,Kondepi                                                                                             ,488,63132.2,182.75
19-03-2022,25,Kondepi                                                                                             ,492,61777.7,183.43
14-03-2022,26,Kandukur - I                                                                                        ,18,2504.4,185
15-03-2022,26,Kandukur - I                                                                                        ,18,2506.2,185
16-03-2022,26,Kandukur - I                                                                                        ,82,10648.7,184.37
17-03-2022,26,Kandukur - I                                                                                        ,181,23284,184.01
18-03-2022,26,Kandukur - I                                                                                        ,341,42289.5,184.42
19-03-2022,26,Kandukur - I                                                                                        ,337,43836.6,184.66
14-03-2022,27,Kandukur - II                                                                                       ,18,2107.7,185
15-03-2022,27,Kandukur - II                                                                                       ,27,3279.4,185
16-03-2022,27,Kandukur - II                                                                                       ,79,10048.2,184.53
17-03-2022,27,Kandukur - II                                                                                       ,148,19218.5,184.13
18-03-2022,27,Kandukur - II                                                                                       ,255,34260.8,184.03
19-03-2022,27,Kandukur - II                                                                                       ,363,48587.6,183.99
14-03-2022,29,D.C. Palli                                                                                          ,18,2447.8,185
15-03-2022,29,D.C. Palli                                                                                          ,125,16189.2,184.04
16-03-2022,29,D.C. Palli                                                                                          ,360,46812.1,183.82
17-03-2022,29,D.C. Palli                                                                                          ,407,51884.9,183.72
18-03-2022,29,D.C. Palli                                                                                          ,707,90883,183.64
19-03-2022,29,D.C. Palli                                                                                          ,618,80636.8,183.93
14-03-2022,31,Vellampally-II                                                                                      ,18,2374.8,185
15-03-2022,31,Vellampally-II                                                                                      ,50,6845.9,185
16-03-2022,31,Vellampally-II                                                                                      ,154,20075.1,184.22
17-03-2022,31,Vellampally-II                                                                                      ,221,29422.2,183.09
18-03-2022,31,Vellampally-II                                                                                      ,373,50148.7,181.17
19-03-2022,31,Vellampally-II                                                                                      ,345,45687.4,182.71
