Date      ,APF NO    ,APF Name                                                                                            ,No.of Bales,Qty Sold      ,Avg Price     
28-03-2022,17,Devarapalli                                                                                         ,27,3627.6,191.37
29-03-2022,17,Devarapalli                                                                                         ,193,25990.6,182.36
30-03-2022,17,Devarapalli                                                                                         ,286,38338.4,180.15
31-03-2022,17,Devarapalli                                                                                         ,269,34507.1,177.86
01-04-2022,17,Devarapalli                                                                                         ,308,40427.3,178.26
04-04-2022,17,Devarapalli                                                                                         ,439,59320,180.24
05-04-2022,17,Devarapalli                                                                                         ,472,63430.6,180.1
06-04-2022,17,Devarapalli                                                                                         ,535,70310.6,176.23
07-04-2022,17,Devarapalli                                                                                         ,372,49672.5,180.81
08-04-2022,17,Devarapalli                                                                                         ,474,62500.9,179.02
09-04-2022,17,Devarapalli                                                                                         ,318,41282.7,177.01
11-04-2022,17,Devarapalli                                                                                         ,296,38774.8,178.71
12-04-2022,17,Devarapalli                                                                                         ,594,77666.8,175.98
13-04-2022,17,Devarapalli                                                                                         ,591,77252.9,178.71
28-03-2022,18,J.R. Gudem - I                                                                                      ,27,3620.8,195
29-03-2022,18,J.R. Gudem - I                                                                                      ,131,17614.2,187.23
30-03-2022,18,J.R. Gudem - I                                                                                      ,144,18928.8,183.17
31-03-2022,18,J.R. Gudem - I                                                                                      ,81,10623,181.46
01-04-2022,18,J.R. Gudem - I                                                                                      ,111,14682.1,179.51
04-04-2022,18,J.R. Gudem - I                                                                                      ,186,24977,185.12
05-04-2022,18,J.R. Gudem - I                                                                                      ,245,32178.4,181.62
06-04-2022,18,J.R. Gudem - I                                                                                      ,460,59846.7,179.96
07-04-2022,18,J.R. Gudem - I                                                                                      ,275,35010.1,175.61
08-04-2022,18,J.R. Gudem - I                                                                                      ,570,71358.8,170.95
09-04-2022,18,J.R. Gudem - I                                                                                      ,341,42308.6,166.82
11-04-2022,18,J.R. Gudem - I                                                                                      ,704,89537.2,172.43
12-04-2022,18,J.R. Gudem - I                                                                                      ,963,121996.6,172.57
13-04-2022,18,J.R. Gudem - I                                                                                      ,941,119491.5,173.56
14-03-2022,20,Ongole - I                                                                                          ,18,2253.7,185
15-03-2022,20,Ongole - I                                                                                          ,36,4734.7,185
16-03-2022,20,Ongole - I                                                                                          ,101,13208.3,184.13
17-03-2022,20,Ongole - I                                                                                          ,255,33049.5,183.06
18-03-2022,20,Ongole - I                                                                                          ,240,30880.9,181.05
19-03-2022,20,Ongole - I                                                                                          ,434,55709.8,181.27
21-03-2022,20,Ongole - I                                                                                          ,388,50399.5,183.82
22-03-2022,20,Ongole - I                                                                                          ,348,43529.6,182.92
23-03-2022,20,Ongole - I                                                                                          ,450,59791.7,181.65
24-03-2022,20,Ongole - I                                                                                          ,553,68540.5,181.32
25-03-2022,20,Ongole - I                                                                                          ,433,56301.2,181.05
26-03-2022,20,Ongole - I                                                                                          ,545,70482.3,182.48
28-03-2022,20,Ongole - I                                                                                          ,586,77372.5,181.93
29-03-2022,20,Ongole - I                                                                                          ,641,87707.5,181.23
30-03-2022,20,Ongole - I                                                                                          ,902,118437.8,182.49
31-03-2022,20,Ongole - I                                                                                          ,522,68113,178.9
01-04-2022,20,Ongole - I                                                                                          ,519,66764.3,179.43
04-04-2022,20,Ongole - I                                                                                          ,741,98089.5,182.5
05-04-2022,20,Ongole - I                                                                                          ,637,82862,181.15
06-04-2022,20,Ongole - I                                                                                          ,708,93808.7,181.02
07-04-2022,20,Ongole - I                                                                                          ,684,85258.7,181.18
08-04-2022,20,Ongole - I                                                                                          ,600,79010.2,179.56
09-04-2022,20,Ongole - I                                                                                          ,606,78166.7,178.74
11-04-2022,20,Ongole - I                                                                                          ,564,72439.9,177.07
12-04-2022,20,Ongole - I                                                                                          ,563,74608.1,175.1
13-04-2022,20,Ongole - I                                                                                          ,600,83339,170.37
14-03-2022,22,Podili - I                                                                                          ,27,3586.9,185
