Date      ;APF NO    ;APF Name                                                                                            ;No.of Bales;Qty Sold      ;Avg Price     
28-03-2022;17;Devarapalli                                                                                         ;27;3627.6;191.37
29-03-2022;17;Devarapalli                                                                                         ;193;25990.6;182.36
30-03-2022;17;Devarapalli                                                                                         ;286;38338.4;180.15
31-03-2022;17;Devarapalli                                                                                         ;269;34507.1;177.86
01-04-2022;17;Devarapalli                                                                                         ;308;40427.3;178.26
04-04-2022;17;Devarapalli                                                                                         ;439;59320;180.24
05-04-2022;17;Devarapalli                                                                                         ;472;63430.6;180.1
06-04-2022;17;Devarapalli                                                                                         ;535;70310.6;176.23
07-04-2022;17;Devarapalli                                                                                         ;372;49672.5;180.81
08-04-2022;17;Devarapalli                                                                                         ;474;62500.9;179.02
09-04-2022;17;Devarapalli                                                                                         ;318;41282.7;177.01
11-04-2022;17;Devarapalli                                                                                         ;296;38774.8;178.71
12-04-2022;17;Devarapalli                                                                                         ;594;77666.8;175.98
13-04-2022;17;Devarapalli                                                                                         ;591;77252.9;178.71
18-04-2022;17;Devarapalli                                                                                         ;377;49413.4;178.65
19-04-2022;17;Devarapalli                                                                                         ;534;68485.2;181.32
20-04-2022;17;Devarapalli                                                                                         ;459;58805.2;178.56
21-04-2022;17;Devarapalli                                                                                         ;576;75301.5;180.8
22-04-2022;17;Devarapalli                                                                                         ;753;98474;178.95
23-04-2022;17;Devarapalli                                                                                         ;494;63493.1;176.86
25-04-2022;17;Devarapalli                                                                                         ;415;53891.7;178.11
26-04-2022;17;Devarapalli                                                                                         ;661;86414.3;176.56
27-04-2022;17;Devarapalli                                                                                         ;694;88415.7;175.81
28-04-2022;17;Devarapalli                                                                                         ;633;82291.4;173.33
29-04-2022;17;Devarapalli                                                                                         ;563;72777.5;171.67
30-04-2022;17;Devarapalli                                                                                         ;407;52014.9;172.32
02-05-2022;17;Devarapalli                                                                                         ;684;87241.5;174.81
04-05-2022;17;Devarapalli                                                                                         ;801;104024.4;170.96
05-05-2022;17;Devarapalli                                                                                         ;539;68252.1;173.35
06-05-2022;17;Devarapalli                                                                                         ;720;90511.2;177.09
07-05-2022;17;Devarapalli                                                                                         ;353;44600.4;172.06
09-05-2022;17;Devarapalli                                                                                         ;713;89641.5;176.84
10-05-2022;17;Devarapalli                                                                                         ;717;90174.6;177.04
11-05-2022;17;Devarapalli                                                                                         ;528;65258.7;175.95
12-05-2022;17;Devarapalli                                                                                         ;789;97816.7;178.7
13-05-2022;17;Devarapalli                                                                                         ;771;94668.8;174.71
14-05-2022;17;Devarapalli                                                                                         ;656;79814.4;173.71
17-05-2022;17;Devarapalli                                                                                         ;944;116772.3;172.09
18-05-2022;17;Devarapalli                                                                                         ;677;84164.9;174.59
19-05-2022;17;Devarapalli                                                                                         ;1044;129859.9;178.8
20-05-2022;17;Devarapalli                                                                                         ;717;88481.6;174.88
21-05-2022;17;Devarapalli                                                                                         ;551;68470;173.72
23-05-2022;17;Devarapalli                                                                                         ;532;66599.3;178.32
24-05-2022;17;Devarapalli                                                                                         ;488;58920.9;176.77
25-05-2022;17;Devarapalli                                                                                         ;548;68503;177.52
26-05-2022;17;Devarapalli                                                                                         ;564;70979.1;183.87
27-05-2022;17;Devarapalli                                                                                         ;757;91489.1;180.51
28-05-2022;17;Devarapalli                                                                                         ;707;84977.8;177.54
30-05-2022;17;Devarapalli                                                                                         ;608;73396.8;175.52
31-05-2022;17;Devarapalli                                                                                         ;693;86790.5;181.14
01-06-2022;17;Devarapalli                                                                                         ;589;74136.9;181.94
02-06-2022;17;Devarapalli                                                                                         ;616;74817.4;181.05
28-03-2022;18;J.R. Gudem - I                                                                                      ;27;3620.8;195
29-03-2022;18;J.R. Gudem - I                                                                                      ;131;17614.2;187.23
30-03-2022;18;J.R. Gudem - I                                                                                      ;144;18928.8;183.17
31-03-2022;18;J.R. Gudem - I                                                                                      ;81;10623;181.46
